code,level,name_kh,name_en,parent_code
01,province,បន្ទាយមានជ័យ,Banteay Meanchey,
0102,district,មង្គលបុរី,Mangkul Bourei,01
010201,commune,បន្ទាយនាង,Banteay Neang,0102
01020101,village,អូរធំ,Ou Thum,010201
01020102,village,ភ្នំ,Phnum,010201
01020103,village,បន្ទាយនាង,Banteay Neang,010201
01020104,village,គោកព្នៅ,Kouk Pnov,010201
01020105,village,ត្រាង,Trang,010201
01020106,village,ពង្រ,Pungro,010201
01020107,village,គោកទន្លាប់,Kouk Tunloab,010201
01020108,village,ត្របែក,Trabaek,010201
01020109,village,ឃីឡិក,Khilik,010201
01020110,village,សំរោងពេន,Samraong Pen,010201
01020111,village,ដងរុនលិច,Dang Run Lech,010201
01020112,village,ដងរុនកើត,Dang Run Kaeut,010201
01020113,village,អូរស្ងួត,Ou Snguot,010201
01020114,village,ព្រៃចង្ហាលិច,Prey Changha Lech,010201
01020115,village,ព្រៃចង្ហាកើត,Prey Changha Kaeut,010201
01020116,village,អូរអណ្តូងលិច,Ou Andoung Lech,010201
01020117,village,អូរអណ្តូងកណ្តាល,Ou Andoung Kandal,010201
01020118,village,អូរអណ្តូងកើត,Ou Andoung Kaeut,010201
01020119,village,គោកក្ដួច,Kouk Kdouch,010201
010202,commune,បត់ត្រង់,Bat Trong,0102
01020201,village,ខ្ទុម្ពរាយលិច,Khtum Reay Lech,010202
01020202,village,ខ្ទុម្ពរាយកើត,Khtum Reay Kaeut,010202
01020203,village,អន្លង់ថ្ងាន់កើត,Anlung Thngan Kaeut,010202
01020204,village,អន្លង់ថ្ងាន់លិច,Anlung Thngan Lech,010202
01020205,village,បង់បត់លិច,Bang Bat Lech,010202
01020206,village,បង់បត់កើត,Bang Bat Kaeut,010202
01020207,village,បត់ត្រង់,Bat Trang,010202
01020208,village,បត់ត្រង់ធំលិច,Bat Trang Thum Lech,010202
01020209,village,បត់ត្រង់ធំកើត,Bat Trang Thum Kaeut,010202
01020210,village,បត់ត្រង់តូច,Bat Trang Touch,010202
01020211,village,ព្រែកជីក,Preaek Chik,010202
010203,commune,ចំណោម,Chamnaom,0102
01020301,village,ប្រឡាយចារ៍,Pralay Char,010203
01020302,village,រង្វានលិច,Rongvean Lech,010203
01020303,village,រង្វានកើត,Rongvean Kaeut,010203
01020304,village,ចំណោមលិច,Chamnaom Lech,010203
01020305,village,ចំណោមកើត,Chamnaom Kaeut,010203
01020306,village,រោងគោដើម,Roung Kou Daeum,010203
01020307,village,រោងគោកណ្តាល,Roung Kou Kandal,010203
01020308,village,រោងគោចុង,Roung Kou Chong,010203
01020309,village,ពាមរោងគោ,Peam Roung Kou,010203
01020310,village,តាសល់,Ta Sal,010203
01020311,village,ជួរខ្ចាស់,Chuor Khchas,010203
01020312,village,បឹងត្រស់,Boeng Tras,010203
01020313,village,ដងត្រាង,Dang Trang,010203
01020314,village,ស្រែព្រៃ,Srae Prey,010203
01020315,village,បុស្បទន្លាប់,Bos Tunloab,010203
